,Estimated_Delay_Minutes
1014,5.080645161290322
1015,5.282608695652174
1016,4.5
1017,6.905940594059405
1018,6.724137931034483
1019,6.358695652173912
1020,5.103092783505154
1021,6.654929577464789
1022,14.25
1023,4.125
1024,7.279411764705883
1025,6.53225806451613
1026,9.519230769230768
1027,8.070652173913043
1028,7.147058823529411
1029,4.6022727272727275
1030,5.571428571428571
1031,12.857142857142856
1032,4.390243902439025
1033,5.561797752808989
1034,4.646739130434782
1035,15.0
1036,11.25
1037,8.5
1038,7.664835164835165
1039,5.689655172413794
1040,18.670212765957448
1041,19.191176470588236
1042,19.5
1043,10.474137931034482
1044,6.181318681318682
1045,6.030927835051546
1046,18.14516129032258
1047,24.456521739130434
1048,4.434306569343066
1049,8.873239436619718
1050,11.462264150943396
1051,17.86764705882353
1052,6.388888888888888
1053,13.5
1054,27.857142857142858
1055,10.714285714285714
1056,19.285714285714285
1057,7.159090909090909
1058,6.964285714285714
1059,7.5
1060,11.037735849056604
1061,9.642857142857142
1062,4.464285714285714
1063,20.892857142857142
1064,6.6
1065,29.60526315789474
1066,10.086206896551724
1067,10.817307692307693
1068,8.470588235294118
1069,15.0
1070,6.590909090909091
1071,16.171875
1072,5.48780487804878
1073,9.886363636363637
1074,10.848214285714286
1075,21.599999999999998
1076,7.8061224489795915
1077,6.958762886597938
1078,15.0
1079,16.41891891891892
1080,6.964285714285714
1081,9.375
1082,7.258064516129032
1083,9.59016393442623
1084,7.092391304347826
1085,7.08904109589041
1086,20.25
1087,11.25
1088,12.352941176470589
1089,13.316326530612244
1090,8.804347826086957
1091,5.576923076923077
1092,7.723880597014925
1093,12.321428571428573
1094,8.709677419354838
1095,23.333333333333332
1096,25.0
1097,11.071428571428571
1098,7.788461538461538
1099,12.31132075471698
1100,9.285714285714285
1101,5.625
1102,20.892857142857142
1103,8.017241379310345
1104,11.580882352941176
1105,8.1
1106,5.335051546391752
1107,9.058441558441558
1108,6.116504854368932
1109,12.535714285714286
1110,24.0
1111,5.0
1112,8.342696629213483
1113,10.384615384615385
1114,7.0
1115,6.136363636363636
1116,7.5
1117,6.702127659574468
1118,6.6796875
1119,24.051724137931032
1120,9.07258064516129
1121,18.75
1122,7.8125
1123,9.642857142857142
1124,9.285714285714285
1125,8.50609756097561
1126,9.121621621621623
1127,8.365384615384615
1128,11.045454545454545
1129,6.923076923076923
1130,17.205882352941174
1131,13.170731707317072
1132,7.417582417582418
1133,13.806818181818182
1134,7.5
1135,6.675824175824176
1136,13.170731707317072
1137,5.113636363636363
1138,10.848214285714286
1139,5.172413793103448
1140,17.045454545454547
1141,11.076923076923077
1142,14.711538461538462
1143,9.0625
1144,13.026315789473685
1145,7.659574468085106
1146,6.428571428571428
1147,15.187500000000002
1148,9.642857142857142
1149,15.46875
1150,9.350649350649352
1151,8.75
1152,8.08252427184466
1153,8.839285714285714
1154,9.45
1155,9.915254237288135
1156,22.5
1157,12.203389830508474
1158,8.534482758620689
1159,5.526315789473684
1160,7.86144578313253
1161,8.951612903225806
1162,5.4941860465116275
1163,12.701612903225808
1164,8.23943661971831
1165,9.121621621621623
1166,4.864864864864865
1167,17.027027027027028
1168,9.798387096774194
1169,6.903409090909091
1170,7.714285714285714
1171,6.7105263157894735
1172,16.544117647058826
1173,9.121621621621623
1174,24.0
1175,13.295454545454547
1176,7.5
1177,6.468749999999999
1178,6.735668789808917
1179,11.651785714285715
1180,21.31578947368421
1181,24.82758620689655
1182,7.797029702970296
1183,6.647727272727273
1184,7.279411764705883
1185,6.905940594059405
1186,11.612903225806452
1187,9.0
1188,6.698473282442748
1189,9.0
1190,14.278846153846153
1191,8.11046511627907
1192,7.5
1193,6.958762886597938
1194,8.350515463917526
1195,7.342105263157895
1196,9.310344827586206
1197,9.0625
1198,24.91071428571429
1199,12.966101694915254
1200,13.026315789473685
1201,8.4375
1202,7.848837209302326
1203,14.840425531914892
1204,6.260869565217392
1205,10.446428571428571
1206,6.788793103448276
1207,7.0
1208,11.538461538461537
1209,8.181818181818182
1210,7.03125
1211,9.067164179104477
1212,5.89572192513369
1213,3.3433734939759034
1214,23.4375
1215,8.671875
1216,6.367924528301887
1217,5.121951219512195
1218,8.61111111111111
1219,5.869565217391304
1220,10.657894736842104
1221,6.713709677419355
1222,9.84375
1223,8.61111111111111
1224,26.12903225806452
1225,8.526315789473685
1226,7.351485148514851
1227,7.574257425742575
1228,7.045454545454546
1229,14.817073170731708
1230,9.204545454545455
1231,22.5
1232,7.5
1233,13.846153846153847
1234,9.204545454545455
1235,12.5
1236,8.4375
1237,10.953947368421053
1238,11.052631578947368
1239,10.0
1240,10.546875
1241,5.1923076923076925
1242,10.2
1243,25.71428571428571
1244,8.089887640449438
1245,14.583333333333334
1246,14.433962264150942
1247,7.071428571428571
1248,7.65
1249,14.4
1250,7.85377358490566
1251,7.115384615384615
1252,9.603658536585366
1253,7.826086956521739
1254,6.986842105263158
1255,8.076923076923077
1256,8.94578313253012
1257,11.103896103896103
1258,6.545454545454545
1259,7.450331125827815
1260,8.852459016393443
1261,8.118556701030927
1262,6.597744360902255
1263,5.294117647058823
1264,6.907894736842105
1265,6.859756097560975
1266,10.125
1267,6.911764705882353
1268,4.766009852216748
1269,6.107142857142857
1270,3.8000000000000003
1271,7.670454545454545
1272,13.5
1273,14.558823529411766
1274,12.761194029850746
1275,14.361702127659575
1276,14.525316455696203
1277,6.923076923076923
1278,6.923076923076923
1279,8.829113924050633
1280,8.88888888888889
1281,7.974683544303797
1282,8.653846153846155
1283,11.123595505617978
1284,17.740384615384613
1285,9.278350515463917
1286,10.45774647887324
1287,7.433035714285714
1288,5.543478260869565
1289,9.971590909090908
1290,9.39873417721519
1291,6.995798319327731
1292,24.485294117647058
1293,5.8500000000000005
1294,11.25
1295,8.582474226804123
1296,13.81578947368421
1297,7.912087912087912
1298,5.34375
1299,12.3046875
1300,16.875
1301,10.301204819277109
1302,7.865853658536586
1303,9.39873417721519
1304,9.642857142857142
1305,9.75
1306,11.892857142857142
1307,11.712328767123287
1308,23.951612903225804
1309,11.538461538461537
1310,8.674698795180724
1311,7.439516129032258
1312,10.572289156626507
1313,4.114285714285714
1314,11.52439024390244
1315,8.181818181818182
1316,7.837078651685394
1317,27.75
1318,9.113924050632912
1319,15.0
1320,11.962025316455694
1321,8.895348837209301
1322,9.148351648351648
1323,10.760869565217392
1324,10.988372093023255
1325,8.544303797468356
1326,8.938356164383562
1327,13.636363636363637
1328,13.875
1329,20.930232558139533
1330,28.306451612903224
1331,18.920454545454547
1332,16.764705882352942
1333,13.571428571428571
1334,11.531249999999998
1335,11.725352112676056
1336,12.90983606557377
1337,9.680232558139535
1338,17.276785714285715
1339,8.214285714285714
1340,7.142857142857142
1341,9.225
1342,11.1144578313253
1343,18.191489361702125
1344,11.875
1345,15.267857142857144
1346,11.413043478260871
1347,9.859550561797754
1348,10.482954545454545
1349,10.171232876712327
1350,13.347457627118644
1351,6.677419354838709
1352,9.133663366336634
1353,12.272727272727272
1354,9.5625
1355,9.5
1356,12.531645569620252
1357,10.47945205479452
1358,7.85377358490566
1359,6.149068322981367
1360,9.444444444444445
1361,7.826086956521739
1362,10.06578947368421
1363,10.421052631578947
1364,27.75
1365,10.760869565217392
1366,6.508264462809917
1367,16.323529411764707
1368,8.289473684210526
1369,10.833333333333332
1370,8.486842105263158
1371,11.538461538461537
1372,10.027173913043478
1373,8.763157894736842
1374,16.141304347826086
1375,8.231707317073171
1376,23.076923076923073
1377,16.016949152542374
1378,10.344827586206897
1379,15.860655737704919
1380,14.153225806451612
1381,12.466216216216216
1382,8.737864077669903
1383,8.035714285714286
1384,4.560810810810811
1385,11.25
1386,8.891129032258064
1387,9.53804347826087
1388,10.588235294117647
1389,7.989130434782609
1390,7.436440677966102
1391,9.680232558139535
1392,9.3
1393,10.5
1394,13.866279069767442
1395,15.416666666666668
1396,7.75
1397,4.056122448979592
1398,15.14423076923077
1399,9.054878048780488
1400,6.50390625
1401,10.137362637362637
1402,10.384615384615385
1403,13.413461538461538
1404,8.26171875
1405,14.0625
1406,5.491071428571429
1407,9.23076923076923
1408,12.017045454545453
1409,8.954081632653061
1410,5.811258278145695
1411,4.427710843373494
1412,7.544910179640718
1413,6.895161290322581
1414,9.335106382978724
1415,11.858108108108107
1416,10.277777777777777
1417,11.379310344827587
1418,12.391304347826088
1419,5.172413793103448
1420,28.306451612903224
1421,7.321428571428572
1422,12.198795180722891
1423,7.142857142857142
1424,12.5
1425,8.526315789473685
1426,7.062043795620438
1427,7.137931034482759
1428,11.25
1429,10.848214285714286
1430,6.75
1431,17.678571428571427
1432,9.140625
1433,8.910891089108912
1434,10.843373493975903
1435,4.21875
1436,10.852941176470589
1437,11.829896907216495
1438,11.911764705882353
1439,8.26171875
1440,5.960264900662252
1441,10.516304347826088
1442,16.39830508474576
1443,7.983870967741936
1444,5.7975460122699385
1445,7.674418604651163
1446,10.277777777777777
1447,12.434210526315791
1448,11.25
1449,10.024752475247524
1450,8.69747899159664
1451,11.494565217391305
1452,12.466216216216216
1453,9.615384615384615
1454,7.115384615384615
1455,18.07377049180328
1456,28.5
1457,11.882022471910112
1458,15.78358208955224
1459,18.6328125
1460,12.403846153846155
1461,6.540697674418605
1462,7.071428571428571
1463,10.625
1464,7.38
1465,9.0
1466,7.34375
1467,11.629213483146069
1468,9.140625
1469,10.470297029702971
1470,9.285714285714285
1471,5.6020408163265305
1472,6.677419354838709
1473,13.728813559322035
1474,8.940397350993377
1475,8.035714285714286
1476,6.27906976744186
1477,4.617903930131004
1478,5.092592592592593
1479,7.443609022556391
1480,11.129032258064516
1481,15.517241379310345
1482,11.037735849056604
1483,16.125
1484,8.357142857142858
1485,11.612903225806452
1486,8.076923076923077
1487,11.798780487804878
1488,10.110759493670887
1489,12.60989010989011
1490,9.527027027027026
1491,8.739669421487603
1492,7.593750000000001
1493,21.25
1494,6.300000000000001
1495,12.46987951807229
1496,13.23529411764706
